,C Bathy,Cs Bathy∆N,C Nitra,C SCGC,C Therm1,C Therm2,C Tron,S Gem,Bs Gem∆N,S Bacc,Bs Bacc∆N,Bs I2∆N,Bs Clos∆N,S Deb,Bs Deb∆N,Bs Spi∆N,Bs Mic∆N,+ Mm,A 1R26,B Lum1,No PylRS
Bathy,3.806233601,1.87460713,13.30734206,1.10266566,1.759709754,1.198769686,1.654928895,2.554331176,3.107262895,1.930889548,2.381581507,31.46261595,68.21779887,7.74658785,1.800787013,1.957295542,1.408506694,75.9067879,6.552653792,15.11151145,1.433485616
Nitra,22.80764018,22.13471736,71.95065634,11.08717403,9.154807829,6.972215912,45.79207035,41.12795002,27.42739755,19.21529101,22.20641847,48.31366841,91.88895477,16.3579805,45.28444198,44.29099281,19.3616863,89.22859327,80.97200552,70.9891199,15.31333194
SCGC,2.081183746,1.538421132,40.21973417,0.726653398,1.435392816,1.063398343,1.338253704,2.319966181,2.017365734,1.551329825,1.590147961,16.54370598,74.02305669,1.060734634,1.466661112,1.564894233,1.248575978,2.567033305,3.019758617,1.918068535,1.705971794
Therm1,3.370299037,3.230944441,69.99290668,1.374128475,3.195959437,1.977084139,2.650230345,3.750542404,3.512606137,2.729791494,3.393440796,48.26151879,10.75537053,3.15296706,3.25558397,3.170297257,2.505962059,4.701648408,3.33281861,3.612017875,2.988019719
Therm2,3.696018674,2.60417873,11.32518058,2.381386068,2.22574432,0.943839213,2.712503787,4.486335183,2.571863739,3.611479251,3.017878706,10.54581022,31.77061294,1.846938574,2.325776446,2.728495313,2.620627939,4.857640744,9.165769844,18.37972935,2.666750201
Tron,6.593156997,6.194107276,75.91056521,3.935519339,1.03916071,4.568327228,75.59565326,24.99463312,37.6837168,11.80457581,8.800798221,70.85005467,99.14984666,9.983761433,63.68344513,52.13556844,37.31669,29.74550368,97.46806675,95.00020571,6.886730563
Gem,1.068415844,0.731253563,0.701280259,0.527975824,1.212102049,0.691206877,0.735712646,0.971889109,0.810802283,0.799858411,0.824125778,0.832208248,1.044620728,6.440979654,0.725154861,0.78945183,0.625316414,4.880276684,1.772875177,0.701976051,0.739638146
Bacc,1.196103172,0.796483115,13.44676195,0.591139983,1.021895348,0.683753744,0.711349274,4.945079019,6.086467005,1.688497512,0.918036835,56.18236913,71.02622466,22.68371056,5.050399909,9.72762362,2.1513923,83.79125983,0.8784993,8.957063089,0.742684087
I2,1.45656443,0.849013261,22.60036433,0.568496486,0.768500154,0.755599368,0.796439997,7.069306591,9.89429236,2.11970894,1.067258207,66.71328397,93.00370175,12.46316673,34.1935229,14.65055123,12.62440873,84.6378665,1.700801155,60.36964421,0.770396435
Clos,1.615214359,0.775215438,6.279071514,0.581750718,0.71478819,0.749372676,1.717355251,4.043916278,6.058539535,1.253134568,0.960404068,19.20305863,14.03479316,25.12224045,7.838672482,9.820302275,1.281709856,89.99165067,11.73779818,23.86788348,0.806604856
Deb,1.534398096,0.705496557,0.881165416,0.552599724,0.654577938,0.792595229,0.715235811,1.39356969,1.701256129,0.89346556,0.96713842,14.61180999,23.33737411,6.66746303,1.256514536,1.433675813,0.700751133,87.5555787,0.931961687,1.21857361,0.738969234
Spi,1.273537153,0.705836658,0.97335228,0.768447661,0.617119357,0.626191098,0.633968165,1.02636311,1.193090267,1.083281525,0.933115959,7.730853909,15.9689658,35.1975214,0.861353188,1.019541581,0.767964349,89.01403294,1.141081314,1.524190309,0.80406591
Mic,4.721539854,4.182527962,40.78448278,3.211941205,2.184091013,1.394464661,12.1910304,15.1161448,16.86373036,5.843675111,4.305233986,9.418841514,31.21131156,9.311686111,40.43970644,19.04923994,25.51351231,45.68753467,18.99122287,68.62432094,3.925844059
Mm,3.509854575,0.840936791,29.49716974,0.596117214,0.706085477,0.621207445,0.892339145,7.011784529,10.01572067,1.71970162,0.658044881,23.19016211,44.28428317,57.14717653,20.38101159,6.965787907,3.320149091,117.7090587,9.128921293,81.47501938,1.027876522
Spe,,,1.533938979,,,,0.811172418,0.965761631,1.595273283,,,3.510716692,14.62627067,36.59391703,1.33341704,1.063658078,0.897874637,117.609113,1.427078069,7.689357253,0.876983235
Eve,,,4.423187293,,,,0.809600656,1.406901139,2.48177156,,,4.263809033,13.05808801,12.93551276,2.749184376,1.445900986,0.929465319,97.10070489,2.076898019,22.69963862,0.850311264
Met,,,1.834216594,,,,0.788283259,0.827765284,2.615975379,,,3.480110084,24.37834964,5.951858294,1.045080239,1.091610619,0.812708754,108.1823456,2.097448341,2.932460103,0.836668921
Bur,,,1.083082737,,,,0.725652915,0.750996008,0.782289803,,,0.670108899,1.321633973,10.08873112,0.81593391,0.935751183,0.804486482,102.5749269,1.67785487,1.713285995,0.780850672
Vul,,,1.183800242,,,,0.764362521,0.844135542,1.196771906,,,1.338191666,3.73174128,31.4545133,1.135196885,0.941288864,0.838157276,103.8171008,1.56458491,2.609876793,0.825057496
Psy,,,1.05455962,,,,0.659181675,0.833712327,0.797685549,,,0.526911292,0.721093695,51.92013905,1.181297354,0.94926375,1.425164805,77.50178519,1.288748645,1.569898151,0.863100339
Pro,,,1.083161418,,,,0.639770383,0.792715541,0.753133039,,,0.553235728,0.792565275,38.32982712,1.124503567,0.901452118,1.299962234,107.1820318,1.316578867,1.227292767,0.771844828
Alv,1.3526313,1.031028386,46.4992238,0.750382762,0.901681362,0.825973399,1.025520809,2.487657613,4.049511737,1.070131152,1.035863004,22.31269887,33.4616631,72.41828116,1.853225485,2.361327436,1.774954282,116.6675574,113.0275492,9.815036269,1.390321175
Alv 8,0.917463591,0.757128866,15.04154774,0.797759329,0.725274311,0.579012211,0.682303787,1.123461323,1.150696627,1.023477874,1.020907006,14.51107143,6.041484612,0.958566666,0.825930383,1.128673407,0.865655472,1.353429798,86.64654288,2.357117089,0.852556765
Alv10,,,30.14876766,,,,0.717335399,1.175223776,1.457292223,,,19.14208212,7.335561448,3.38231683,1.450886202,1.420049578,1.956165615,2.252795573,114.1404744,4.066595375,0.957487758
Alv11,,,15.65456172,,,,0.669986907,0.987650942,1.586543478,,,13.40518815,12.0453011,1.299416456,1.359349146,1.178739361,1.486097258,1.817867079,105.542682,3.043736715,0.899619958
Alv14,,,68.16516402,,,,1.231301028,3.646606505,6.094171696,,,47.57876209,76.95606054,3.656723504,3.001121276,3.926673079,3.390569985,5.677670967,115.1375802,10.25548645,1.612419754
Alv 15,,,15.31530546,,,,0.74910105,0.919494225,0.760440833,,,4.407497842,2.088927897,0.980112918,1.580212378,1.03074148,0.743118633,1.540288953,100.38338,2.882704046,0.938328296
Alv 17,0.894912304,0.741462909,6.571860765,0.749433652,0.667170378,0.515600662,0.674968974,1.073772388,0.95488817,0.933125828,0.978653896,3.939451043,3.287358287,0.867986006,0.765491549,0.956502043,0.795281214,1.112923799,80.07770578,1.091647395,0.850046349
Alv 19,,,30.60575918,,,,0.788354822,0.964042271,1.265449766,,,16.77272363,17.65496705,1.317155521,1.691937898,1.167718575,0.919067373,1.642936371,109.5911121,2.721675682,0.974140266
Alv20,,,17.26301972,,,,0.737466423,0.867093424,0.718073398,,,3.916224944,3.054218378,0.88120057,1.431549893,1.016249517,0.770617693,1.50758472,94.14227775,1.852311782,0.84855582
Alv 21,,,5.893228532,,,,0.746627572,0.846184649,0.757311506,,,4.058644079,3.480565541,0.829701173,1.45439187,1.082149206,0.755550571,1.338728972,83.13949773,2.273406357,0.830977935
Alv 22,,,15.9466071,,,,0.776977026,1.160592614,1.737595033,,,3.693793814,1.024668319,0.849198328,1.434719693,1.34188954,0.970210316,1.804887055,113.9296378,27.66337234,0.909590024
Int,13.37086618,8.151392486,92.89349794,5.094227329,11.7909404,6.349557887,94.15929926,55.43381523,32.27212271,22.35302301,9.802892933,29.51889552,86.03737896,81.07201907,80.17831857,50.03528802,41.66326193,127.2904646,82.64858282,42.98993942,7.811801069
Int 5B03,,,102.7352671,,,,58.28875878,30.78608218,6.330751543,,,77.7861113,96.52406028,19.96317627,4.217406114,29.20985044,1.965964675,3.857258492,83.53080688,81.82595957,0.979633341
Int 5C10,,,98.90120176,,,,64.42850687,32.95209753,7.193137536,,,79.83555966,92.14731156,17.1925956,4.0691904,32.24011688,2.104090197,9.057984336,98.23047524,96.55639344,1.066061514
Int 6B03,,,102.4587459,,,,53.71089791,22.13734941,7.246407415,,,81.32052213,90.37606443,25.39580357,4.106392683,21.59913484,1.94064112,3.769498932,68.89514272,96.57791322,1.268258519
Int 6C10,,,93.81272802,,,,54.83147816,22.16301919,7.522960679,,,79.28532947,90.55875341,21.83087325,3.96958911,21.31798622,1.998977249,6.421442689,75.78406394,96.29268081,1.277234516
Int 13C10,,,100.1901121,,,,37.38676813,27.82742103,9.340606781,,,75.73070206,86.82369407,36.82984714,6.345990889,24.83207394,2.766589552,6.346393503,15.9714605,92.88387631,1.115809034
Int 17B03,,,82.92568916,,,,30.7559373,2.290057406,1.893632029,,,54.06978097,82.52461978,3.794504903,1.294827613,2.43195225,1.354563076,1.987574174,8.377932503,88.41814318,1.077539407
Int 17C10,1.532449263,1.145190802,43.79340141,1.146241608,1.016984625,0.820258397,28.3794858,2.08395872,1.96345348,1.629447941,1.537890148,34.23714556,94.5503505,2.798208208,1.205777779,2.191160077,1.269166963,2.096042918,15.06880475,76.09008917,1.13431946
I2 B8,0.996700281,0.801971461,14.53590881,0.625450997,0.778266923,,0.74772201,3.132089167,1.562486899,1.508758856,0.87294736,47.4078539,72.31310702,3.04909632,1.759578044,,0.702579768,1.912239578,1.722853204,31.58173751,0.745306881
I2 B32,0.968100441,0.757706393,6.959725126,0.578640117,0.647195346,,0.693780389,1.641614194,1.320236327,0.895492127,0.821668063,26.57721251,72.78199105,4.902389525,1.325744561,,0.62731213,3.619462792,0.861512882,11.66957392,0.727674344
I2 B72,0.81535528,0.681375182,7.954308399,0.694909357,0.597327944,0.517794053,0.626948591,5.222239804,3.225777145,1.136926543,0.952568583,60.42362077,73.13570391,6.045265518,7.833399183,11.96875036,0.899273373,1.846367915,1.740647322,49.30129678,0.76797664
I2 H52,1.054468094,0.656850663,0.827823457,0.647315152,0.620728926,0.523373862,0.610312131,1.023387888,0.755313878,0.871971957,0.959970023,0.931268893,0.773071957,42.8562829,0.817296691,0.973887018,0.719262971,1.543057534,0.955467935,0.798478029,0.715918359